0	16.4153
0.01	17.4375
0.02	18.5216
0.03	19.6387
0.04	20.7824
0.05	21.9249
0.06	23.0499
0.07	24.142
0.08	25.1669
0.09	26.1032
0.1	26.9412
0.11	27.6723
0.12	28.2816
0.13	28.7731
0.14	29.1438
0.15	29.4001
0.16	29.5556
0.17	29.6232
0.18	29.6029
0.19	29.5136
0.2	29.3611
0.21	29.1565
0.22	28.9099
0.23	28.6262
0.24	28.3174
0.25	27.9837
0.26	27.6323
0.27	27.2665
0.28	26.8922
0.29	26.5141
0.3	26.1318
0.31	25.7477
0.32	25.3653
0.33	24.9861
0.34	24.6097
0.35	24.2388
0.36	23.8739
0.37	23.5147
0.38	23.1627
0.39	22.8171
0.4	22.4794
0.41	22.1484
0.42	21.8243
0.43	21.508
0.44	21.1984
0.45	20.8954
0.46	20.5997
0.47	20.3093
0.48	20.0259
0.49	19.7482
0.5	19.4762
0.51	19.2095
0.52	18.948
0.53	18.6922
0.54	18.4404
0.55	18.1931
0.56	17.9502
0.57	17.7122
0.58	17.4774
0.59	17.2472
0.6	17.0198
0.61	16.796
0.62	16.5763
0.63	16.359
0.64	16.1448
0.65	15.9342
0.66	15.7258
0.67	15.5201
0.68	15.3169
0.69	15.1162
0.7	14.9186
0.71	14.7219
0.72	14.5281
0.73	14.3364
0.74	14.1466
0.75	13.9589
0.76	13.7723
0.77	13.5882
0.78	13.4051
0.79	13.2237
0.8	13.0439
0.81	12.8656
0.82	12.6887
0.83	12.5133
0.84	12.3386
0.85	12.1652
0.86	11.9936
0.87	11.8226
0.88	11.6522
0.89	11.4835
0.9	11.3158
0.91	11.1486
0.92	10.9823
0.93	10.817
0.94	10.652
0.95	10.4884
0.96	10.3251
0.97	10.1626
0.98	10.0003
0.99	9.8392
1	9.6784
1.01	9.5177
1.02	9.358
1.03	9.1985
1.04	9.0396
1.05	8.8812
1.06	8.7228
1.07	8.5649
1.08	8.4071
1.09	8.2501
1.1	8.0926
1.11	7.936
1.12	7.7793
1.13	7.6229
1.14	7.4664
1.15	7.3103
1.16	7.154
1.17	6.998
1.18	6.8422
1.19	6.6862
1.2	6.5305
1.21	6.3745
1.22	6.2184
1.23	6.0625
1.24	5.9067
1.25	5.7506
1.26	5.5944
1.27	5.4383
1.28	5.2823
1.29	5.1261
1.3	4.9696
1.31	4.8129
1.32	4.6564
1.33	4.5
1.34	4.3433
1.35	4.1865
1.36	4.0296
1.37	3.8729
1.38	3.716
1.39	3.5591
1.4	3.4026
1.41	3.2461
1.42	3.09
1.43	2.9339
1.44	2.7784
1.45	2.6236
1.46	2.4691
1.47	2.3157
1.48	2.1633
1.49	2.0934
